CustomerID,Age,TenureMonths,MonthlyCharges,SupportCalls,ContractType,PaymentMethod,InternetService,Churn
CUST2000,56,15,55.16,1,Two Year,Credit Card,Fiber Optic,No
CUST2001,69,64,30.14,2,Month-to-Month,Electronic Check,DSL,No
CUST2002,46,28,68.59,1,Two Year,Mailed Check,DSL,No
CUST2003,32,39,45.68,3,Month-to-Month,Mailed Check,No,No
CUST2004,60,57,48.49,0,One Year,Credit Card,Fiber Optic,No
CUST2005,25,17,50.73,3,Two Year,Credit Card,No,No
CUST2006,38,44,100.3,5,Month-to-Month,Electronic Check,No,Yes
CUST2007,56,25,73.92,0,Month-to-Month,Electronic Check,Fiber Optic,Yes
CUST2008,36,17,51.13,1,Month-to-Month,Mailed Check,DSL,No
CUST2009,40,13,81.03,1,One Year,Bank Transfer,Fiber Optic,No
CUST2010,28,25,91.62,0,Month-to-Month,Credit Card,No,Yes
CUST2011,28,68,47.26,1,One Year,Bank Transfer,Fiber Optic,No
CUST2012,41,10,61.35,2,Month-to-Month,Bank Transfer,Fiber Optic,Yes
CUST2013,53,67,32.19,2,Month-to-Month,Electronic Check,DSL,No
CUST2014,57,18,38.11,0,Month-to-Month,Credit Card,No,Yes
CUST2015,41,34,88.11,3,Month-to-Month,Credit Card,Fiber Optic,No
CUST2016,20,8,38.14,0,One Year,Electronic Check,No,Yes
CUST2017,39,40,72.52,1,Two Year,Bank Transfer,DSL,Yes
CUST2018,19,42,90.9,1,One Year,Electronic Check,DSL,No
CUST2019,41,41,30.69,4,Month-to-Month,Mailed Check,DSL,Yes
CUST2020,61,6,76.73,1,Two Year,Credit Card,Fiber Optic,No
CUST2021,47,52,45.66,3,One Year,Mailed Check,DSL,No
CUST2022,55,26,116.29,1,Two Year,Electronic Check,DSL,No
CUST2023,19,64,68.35,2,Month-to-Month,Credit Card,No,No
CUST2024,38,59,100.6,2,Month-to-Month,Mailed Check,DSL,No
CUST2025,50,56,75.02,1,Month-to-Month,Mailed Check,No,No
CUST2026,29,59,24.34,4,One Year,Bank Transfer,Fiber Optic,No
CUST2027,39,70,83.32,0,Month-to-Month,Credit Card,No,No
CUST2028,61,33,115.14,1,Month-to-Month,Mailed Check,Fiber Optic,Yes
CUST2029,42,53,80.16,1,Month-to-Month,Mailed Check,No,No
